name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_86,0.5647227168083191,1.1520558595657349,0.4855141639709472,1.2911453247070312,0.0001,0.2,1e-07,0.4,10.0,2.0,32.0,[?.1.1.1],21.0,625.0100948000327,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_87,0.3948603570461273,1.4497040510177612,0.310729056596756,1.6575669050216677,0.0001,0.2,1e-05,0.5,10.0,2.0,32.0,[?.1.1.1],11.0,330.7400615999941,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_88,0.5833399891853333,1.0986907482147217,0.5055714845657349,1.3032115697860718,0.0001,0.2,1e-06,0.5,10.0,2.0,32.0,[?.1.1.1],20.0,579.0156368000316,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_89,0.5394223928451538,1.1917606592178345,0.475007951259613,1.400884032249451,0.0001,0.2,1e-07,0.5,10.0,2.0,32.0,[?.1.1.1],20.0,548.9673099999782,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_90,0.1743973195552826,1.7160592079162598,0.1693728119134903,1.5313992500305176,0.0001,0.7,1e-05,0.1,10.0,2.0,32.0,[?.1.1.1],11.0,294.127299499989,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_91,0.1747951358556747,1.718376874923706,0.1693728119134903,1.5230377912521362,0.0001,0.7,1e-06,0.1,10.0,2.0,32.0,[?.1.1.1],11.0,285.6079613000038,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_92,0.1763067841529846,1.7195347547531128,0.1712830364704132,1.507117509841919,0.0001,0.7,1e-07,0.1,10.0,2.0,32.0,[?.1.1.1],11.0,316.89637560001574,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_93,0.1730447858572006,1.7134228944778442,0.1693728119134903,1.5215808153152466,0.0001,0.7,1e-05,0.2,10.0,2.0,32.0,[?.1.1.1],11.0,338.4369631999871,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_94,0.1790914088487625,1.7074061632156372,0.1696911752223968,1.5310423374176023,0.0001,0.7,1e-06,0.2,10.0,2.0,32.0,[?.1.1.1],11.0,307.99382769997464,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_95,0.1789322942495346,1.7081763744354248,0.1693728119134903,1.531827092170715,0.0001,0.7,1e-07,0.2,10.0,2.0,32.0,[?.1.1.1],11.0,303.64789969997946,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_96,0.1763863414525985,1.7082364559173584,0.1693728119134903,1.5218172073364258,0.0001,0.7,1e-05,0.3,10.0,2.0,32.0,[?.1.1.1],11.0,347.17056860000594,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_97,0.1748746931552887,1.706811547279358,0.1693728119134903,1.5304579734802246,0.0001,0.7,1e-06,0.3,10.0,2.0,32.0,[?.1.1.1],11.0,328.4791360999807,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_98,0.1865701377391815,1.6817792654037476,0.1770136952400207,1.5316880941390991,0.0001,0.7,1e-07,0.3,10.0,2.0,32.0,[?.1.1.1],16.0,459.3039363999851,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_99,0.1750338077545166,1.711013913154602,0.1693728119134903,1.5459178686141968,0.0001,0.7,1e-05,0.4,10.0,2.0,32.0,[?.1.1.1],11.0,301.99496530002216,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_100,0.1992202997207641,1.6765164136886597,0.1789239048957824,1.4796395301818848,0.0001,0.7,1e-06,0.4,10.0,2.0,32.0,[?.1.1.1],28.0,901.7847017999738,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_101,0.1891160756349563,1.6987190246582031,0.1709646582603454,1.5557994842529297,0.0001,0.7,1e-07,0.4,10.0,2.0,32.0,[?.1.1.1],11.0,336.2523508999729,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_102,0.1801257133483886,1.6970198154449463,0.1738299876451492,1.556837558746338,0.0001,0.7,1e-05,0.5,10.0,2.0,32.0,[?.1.1.1],11.0,330.7772646000376,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_103,0.2034370303153991,1.6678065061569214,0.1789239048957824,1.486503839492798,0.0001,0.7,1e-06,0.5,10.0,2.0,32.0,[?.1.1.1],21.0,713.6186804000172,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_104,0.1755907386541366,1.7031079530715942,0.1693728119134903,1.5170903205871582,0.0001,0.7,1e-07,0.5,10.0,2.0,32.0,[?.1.1.1],12.0,394.2044056000304,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_105,0.1742382049560547,1.7269271612167358,0.1693728119134903,1.5187777280807495,0.0001,0.8,1e-05,0.1,10.0,2.0,32.0,[?.1.1.1],11.0,463.88455199997406,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_106,0.1751133799552917,1.7254818677902222,0.1693728119134903,1.524552583694458,0.0001,0.8,1e-06,0.1,10.0,2.0,32.0,[?.1.1.1],11.0,468.5042779999785,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_108,0.5000397562980652,1.3137041330337524,0.345431387424469,1.627697229385376,0.0001,0.2,1e-06,0.2,10.0,5.0,64.0,[?.1.1.1],11.0,374.1346428000252,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_109,0.3419524133205414,1.557748556137085,0.3263292014598846,1.529253602027893,0.0001,0.2,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],11.0,379.2386872000061,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_110,0.3419524133205414,1.557748556137085,0.3263292014598846,1.529253602027893,0.0001,0.2,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],11.0,359.63052780000726,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_111,0.3065478503704071,1.5979223251342771,0.318688303232193,1.4420723915100098,0.0001,0.3,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],11.0,358.81739939999534,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_112,0.3003421127796173,1.5931694507598877,0.3553008735179901,1.388612151145935,0.0001,0.4,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],18.0,579.979792499973,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_113,0.3273132443428039,1.571877121925354,0.3702642321586609,1.3624589443206787,0.0001,0.5,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],24.0,692.1506709000096,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_114,0.1906277388334274,1.696982979774475,0.1719197779893875,1.5018006563186646,0.0001,0.6,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],11.0,270.67255020001903,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_115,0.1736017167568206,1.719467282295227,0.1693728119134903,1.5186001062393188,0.0001,0.7,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],11.0,273.446684799972,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_116,0.373140275478363,1.689285159111023,0.3355619311332702,1.723519206047058,0.001,0.2,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],15.0,356.50935720000416,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_117,0.5242262482643127,1.3280129432678225,0.4450811743736267,1.4096622467041016,0.001,0.3,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],18.0,461.0580470999703,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_118,0.5387858748435974,1.2606463432312012,0.4871060252189636,1.3322466611862185,0.001,0.4,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],22.0,672.5957003000076,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_119,0.2005728334188461,1.828235983848572,0.2008914351463318,1.8998771905899048,0.001,0.5,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],13.0,488.4101219000295,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_120,0.3981223702430725,1.502666473388672,0.3365170359611511,1.5613563060760498,0.001,0.6,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],22.0,658.4527195999981,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_121,0.1821147203445434,1.8938648700714111,0.1693728119134903,1.730361819267273,0.001,0.7,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],22.0,630.1244509000098,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_122,0.6041053533554077,1.1621904373168943,0.5517351031303406,1.3031984567642212,0.005,0.2,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],23.0,665.9075503000058,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_123,0.5929667949676514,1.1602206230163574,0.5093919038772583,1.3438193798065186,0.005,0.3,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],19.0,522.4455896000145,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_124,0.5427639484405518,1.2841838598251345,0.527220606803894,1.2412164211273191,0.005,0.4,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],30.0,885.7150264999946,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_125,0.5740313529968262,1.1835285425186155,0.4921999275684356,1.4396593570709229,0.005,0.5,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],23.0,722.2363694999949,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_126,0.4500755965709686,1.4145206212997437,0.4122890830039978,1.3949930667877195,0.005,0.6,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],23.0,660.6827583999839,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_127,0.513405978679657,1.277670979499817,0.4183381199836731,1.4319308996200562,0.005,0.7,1e-06,0.2,10.0,2.0,64.0,[?.1.1.1],29.0,880.2139790999936,
